"sg_uf_esc","cd_uf","cd_rgi","nm_rgi","media_nota_redacao"
"Rondônia",11,110001,"Porto Velho","577.641804376954"
"Rondônia",11,110002,"Ariquemes","595.5679702048417"
"Rondônia",11,110003,"Jaru","535.8666666666667"
"Rondônia",11,110004,"Ji-Paraná","586.1146496815287"
"Rondônia",11,110005,"Cacoal","570.3409090909091"
"Rondônia",11,110006,"Vilhena","568.019801980198"
"Acre",12,120001,"Rio Branco","581.2756598240469"
"Acre",12,120002,"Brasiléia","513.6559139784946"
"Acre",12,120003,"Sena Madureira","495.06493506493507"
"Acre",12,120004,"Cruzeiro do Sul","567.6029962546817"
"Acre",12,120005,"Tarauacá","434.017094017094"
"Amazonas",13,130001,"Manaus","516.6094781043791"
"Amazonas",13,130002,"São Gabriel da Cachoeira","498.4"
"Amazonas",13,130003,"Coari","481.9484240687679"
"Amazonas",13,130004,"Manacapuru","468.2637362637363"
"Amazonas",13,130005,"Tefé","464.5274725274725"
"Amazonas",13,130006,"Tabatinga","444.48202959830866"
"Amazonas",13,130007,"Eirunepé","529.6052631578947"
"Amazonas",13,130008,"Lábrea","482.9665071770335"
"Amazonas",13,130009,"Manicoré","478.93333333333334"
"Amazonas",13,130010,"Parintins","476.52762119503944"
"Amazonas",13,130011,"Itacoatiara","470.2742230347349"
"Roraima",14,140001,"Boa Vista","569.1052114060964"
"Roraima",14,140002,"Pacaraima","439.0243902439024"
"Roraima",14,140003,"Rorainópolis","527.3333333333334"
"Roraima",14,140004,"Caracaraí","469"
"Pará",15,150001,"Belém","580.6566692975533"
"Pará",15,150002,"Cametá","581.96875"
"Pará",15,150003,"Abaetetuba","555.5701754385965"
"Pará",15,150004,"Castanhal","592.5998225377108"
"Pará",15,150005,"Bragança","520.5511811023622"
"Pará",15,150006,"Capanema","538.2892057026477"
"Pará",15,150007,"Paragominas","582.3958333333334"
"Pará",15,150008,"Capitão Poço","568.8888888888889"
"Pará",15,150009,"Marabá","582.0041753653445"
"Pará",15,150010,"Parauapebas","572.5539568345324"
"Pará",15,150011,"Tucuruí","560.7731092436975"
"Pará",15,150012,"Redenção","557.1428571428571"
"Pará",15,150013,"Tucumã - São Félix do Xingu","573.0285714285715"
"Pará",15,150014,"Xinguara","567.6635514018692"
"Pará",15,150015,"Santarém","598.4454604833442"
"Pará",15,150016,"Itaituba","566.9318181818181"
"Pará",15,150017,"Oriximiná","529.4117647058823"
"Pará",15,150018,"Altamira","588.8175675675676"
"Pará",15,150019,"Almeirim - Porto de Moz","512.6881720430108"
"Pará",15,150020,"Breves","562.9003783102144"
"Pará",15,150021,"Soure-Salvaterra","509.55801104972375"
"Amapá",16,160001,"Macapá","573.281020107896"
"Amapá",16,160002,"Laranjal do Jari","487.5609756097561"
"Amapá",16,160003,"Oiapoque","509.5798319327731"
"Amapá",16,160004,"Porto Grande","544.6913580246913"
"Tocantins",17,170001,"Palmas","540.2162162162163"
"Tocantins",17,170002,"Porto Nacional","499.74789915966386"
"Tocantins",17,170003,"Paraíso do Tocantins","544.0677966101695"
"Tocantins",17,170004,"Miracema do Tocantins","548.9108910891089"
"Tocantins",17,170005,"Araguaína","541.231527093596"
"Tocantins",17,170006,"Guaraí","526.829268292683"
"Tocantins",17,170007,"Colinas do Tocantins","555.5974842767296"
"Tocantins",17,170008,"Tocantinópolis","532.3376623376623"
"Tocantins",17,170009,"Araguatins","508.3195592286501"
"Tocantins",17,170010,"Gurupi","535.7055214723927"
"Tocantins",17,170011,"Dianópolis","494.35406698564594"
"Maranhão",21,210001,"São Luís","561.0089020771513"
"Maranhão",21,210002,"Pinheiro","524.1500586166471"
"Maranhão",21,210003,"Chapadinha","540.6201550387597"
"Maranhão",21,210004,"Itapecuru Mirim","469.5684803001876"
"Maranhão",21,210005,"Viana","498.0748663101604"
"Maranhão",21,210006,"Barreirinhas","459.01234567901236"
"Maranhão",21,210007,"Tutóia - Araioses","550.5405405405405"
"Maranhão",21,210008,"Cururupu","483.6649214659686"
"Maranhão",21,210009,"Santa Inês","552.8114478114478"
"Maranhão",21,210010,"Bacabal","552.8586171310629"
"Maranhão",21,210011,"Governador Nunes Freire","523.2105263157895"
"Maranhão",21,210012,"Pedreiras","566.4179104477612"
"Maranhão",21,210013,"Caxias","529.7503285151117"
"Maranhão",21,210014,"Timon","623.082191780822"
"Maranhão",21,210015,"Codó","533.620178041543"
"Maranhão",21,210016,"Presidente Dutra","578.288920056101"
"Maranhão",21,210017,"São João dos Patos","565.9665871121719"
"Maranhão",21,210018,"Colinas","501.9047619047619"
"Maranhão",21,210019,"Imperatriz","581.3224181360201"
"Maranhão",21,210020,"Barra do Corda","560.704845814978"
"Maranhão",21,210021,"Açailândia","570.43630017452"
"Maranhão",21,210022,"Balsas","542.7503736920777"
