SG_UF_ESC,CD_UF,CD_RGI,NM_RGI,media_nota_redacao,Nível,Ranking
Sergipe,28,280005,Lagarto,675.9657701711492,Nível 10,1º
Rio Grande do Sul,43,430042,Sobradinho,666.7142857142857,Nível 10,2º
Espírito Santo,32,320002,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,664.3879173290939,Nível 10,3º
Rio Grande do Sul,43,430032,Tapejara - Sananduva,658.9108910891089,Nível 10,4º
Minas Gerais,31,310067,Dores do Indaiá,657.5257731958762,Nível 10,5º
Rio Grande do Sul,43,430030,Marau,657.3214285714286,Nível 10,6º
Minas Gerais,31,310039,São João del Rei,656.5562913907285,Nível 10,7º
Pernambuco,26,260008,Surubim,655.8922558922559,Nível 10,8º
Rio Grande do Sul,43,430007,Montenegro,654.5901639344262,Nível 10,9º
São Paulo,35,350029,Fernandópolis,653.3823529411765,Nível 10,10º
Rio Grande do Sul,43,430018,Ijuí,652.1379310344828,Nível 10,11º
Rio Grande do Sul,43,430020,Santo Ângelo,644.2957746478874,Nível 10,12º
Rio Grande do Sul,43,430029,Frederico Westphalen,642.9787234042553,Nível 10,13º
Santa Catarina,42,420015,Videira,642.1576763485477,Nível 10,14º
Rio Grande do Sul,43,430040,Santa Cruz do Sul,640.824427480916,Nível 10,15º
Rio de Janeiro,33,330008,Nova Friburgo,638.7438016528926,Nível 10,16º
Minas Gerais,31,310034,Carangola,637.0909090909091,Nível 10,17º
Minas Gerais,31,310025,Caratinga,636.9,Nível 10,18º
Minas Gerais,31,310070,Abaeté,636.4516129032259,Nível 10,19º
Rio Grande do Sul,43,430024,Cerro Largo,636.3333333333334,Nível 10,20º
Minas Gerais,31,310024,Ipatinga,635.947242206235,Nível 10,21º
Goiás,52,520002,Anápolis,635.1092168353756,Nível 10,22º
São Paulo,35,350010,Jaú,634.4807121661721,Nível 10,23º
Minas Gerais,31,310052,Itajubá,633.0650154798761,Nível 10,24º
Bahia,29,290016,Guanambi,632.7052489905788,Nível 10,25º
Espírito Santo,32,320003,São Mateus,630.4336043360433,Nível 10,26º
Rio Grande do Sul,43,430026,Erechim,629.8630136986301,Nível 10,27º
Paraíba,25,250014,Sousa,628.5961871750434,Nível 10,28º
Pernambuco,26,260014,Afogados da Ingazeira,628.4186046511628,Nível 10,29º
Minas Gerais,31,310016,Diamantina,628.1746031746031,Nível 10,30º
Pernambuco,26,260012,Belo Jardim - Pesqueira,627.912457912458,Nível 10,31º
Minas Gerais,31,310014,Capelinha,626.7636363636364,Nível 10,32º
Minas Gerais,31,310026,João Monlevade,626.7479674796748,Nível 10,33º
Rio Grande do Sul,43,430021,Três Passos,626.4242424242424,Nível 10,34º
Minas Gerais,31,310065,Divinópolis,625.9402121504339,Nível 10,35º
