UF,CD_UF,CD_RGINT,NM_RGINT,media_nota_redacao,Nível,Ranking
SE,28,2802,Itabaiana,638.0551053484603,Nível 10,1º
MG,31,3105,Ipatinga,634.6756756756756,Nível 10,2º
RS,43,4308,Santa Cruz do Sul - Lajeado,629.2897959183673,Nível 10,3º
MG,31,3107,Barbacena,629.1722972972973,Nível 10,4º
MG,31,3113,Divinópolis,626.6062866275972,Nível 10,5º
ES,32,3202,São Mateus,626.3238095238095,Nível 10,6º
RS,43,4305,Ijuí,625.0977835723598,Nível 10,7º
RS,43,4306,Passo Fundo,623.8555078683834,Nível 10,8º
ES,32,3204,Cachoeiro do Itapemirim,616.1533923303834,Nível 10,9º
SC,42,4205,Caçador,613.7185929648241,Nível 10,10º
PE,26,2602,Caruaru,612.6533575317604,Nível 10,11º
RS,43,4303,Santa Maria,611.310425160163,Nível 10,12º
BA,29,2905,Guanambi,610.8504923903313,Nível 10,13º
RJ,33,3303,Petrópolis,609.2966002344666,Nível 10,14º
RS,43,4307,Caxias do Sul,607.319587628866,Nível 9,15º
GO,52,5201,Goiânia,607.1671388101983,Nível 9,16º
MG,31,3109,Pouso Alegre,603.4077855775367,Nível 9,17º
PE,26,2603,Serra Talhada,602.4101265822785,Nível 9,18º
RN,24,2402,Caicó,601.7035775127769,Nível 9,19º
ES,32,3203,Colatina,601.2962962962963,Nível 9,20º
MG,31,3101,Belo Horizonte,601.1976047904192,Nível 9,21º
MG,31,3106,Juíz de Fora,599.8714913763949,Nível 9,22º
RS,43,4302,Pelotas,599.6462361168243,Nível 9,23º
SP,35,3503,Bauru,598.9066059225513,Nível 9,24º
RN,24,2403,Mossoró,598.039853599024,Nível 9,25º
SC,42,4206,Joinville,596.9317428760769,Nível 9,26º
MG,31,3111,Uberlândia,596.0427310729215,Nível 9,27º
ES,32,3201,Vitória,595.5223880597015,Nível 8,28º
SC,42,4204,Chapecó,594.5243282498185,Nível 8,29º
DF,53,5301,Distrito Federal,593.3360680955799,Nível 8,30º
SC,42,4202,Criciúma,593.0662557781202,Nível 8,31º
BA,29,2909,Paulo Afonso,592.7221172022685,Nível 8,32º
SP,35,3510,Campinas,592.6209892538678,Nível 8,33º
MG,31,3108,Varginha,592.5204518893651,Nível 8,34º
PB,25,2504,Sousa - Cajazeiras,592.2833178005592,Nível 8,35º
RJ,33,3302,Volta Redonda - Barra Mansa,590.7422096317281,Nível 8,36º
SP,35,3509,Araraquara,590.2668759811617,Nível 8,37º
SP,35,3504,Marília,590.0275735294117,Nível 8,38º
SP,35,3507,São José do Rio Preto,589.8488120950324,Nível 8,39º
BA,29,2904,Vitória da Conquista,588.4239130434783,Nível 8,40º
RS,43,4301,Porto Alegre,588.2096385542169,Nível 7,41º
SC,42,4201,Florianópolis,587.8669438669439,Nível 7,42º
GO,52,5205,Porangatu - Uruaçu,587.8212290502794,Nível 7,43º
SE,28,2801,Aracaju,587.5956284153006,Nível 7,44º
SP,35,3501,São Paulo,587.4660452062346,Nível 7,45º
BA,29,2910,Feira de Santana,587.3122529644269,Nível 7,46º
PE,26,2601,Recife,587.0196078431372,Nível 7,47º
PB,25,2502,Campina Grande,585.8354978354978,Nível 7,48º
MG,31,3103,Teófilo Otoni,585.5081555834379,Nível 7,49º
MG,31,3104,Governador Valadares,585.0619834710744,Nível 7,50º
SP,35,3505,Presidente Prudente,584.829894032348,Nível 7,51º
RJ,33,3304,Campos dos Goytacazes,584.6243447874199,Nível 7,52º
MG,31,3112,Patos de Minas,584.397046759639,Nível 7,53º
SC,42,4207,Blumenau,583.4391229082515,Nível 6,54º
SP,35,3511,São José dos Campos,582.6632847178187,Nível 6,55º
PI,22,2203,Picos,581.9366515837104,Nível 6,56º
MG,31,3110,Uberaba,580.9662716499544,Nível 6,57º
RS,43,4304,Uruguaiana,580.4846225535881,Nível 6,58º
SP,35,3508,Ribeirão Preto,579.6679047410968,Nível 6,59º
