sg_uf_esc,CD_UF,CD_MUN,nm_mun,media_nota_redacao,Nível,Ranking
Rio Grande do Sul,43,4322350,União da Serra,940.0,Nível 10,1º
Rio Grande do Sul,43,4310579,Itapuca,940.0,Nível 10,2º
Rio Grande do Sul,43,4322103,Tucunduva,930.0,Nível 10,3º
São Paulo,35,3555901,Uru,920.0,Nível 10,4º
Goiás,52,5216908,Pilar de Goiás,920.0,Nível 10,5º
Paraná,41,4125456,São José das Palmeiras,913.3333333333334,Nível 10,6º
Minas Gerais,31,3157278,Santa Bárbara do Monte Verde,910.0,Nível 10,7º
Paraíba,25,2513984,São Francisco,910.0,Nível 10,8º
Minas Gerais,31,3112653,Capitão Andrade,900.0,Nível 10,9º
São Paulo,35,3515806,Flora Rica,886.6666666666666,Nível 10,10º
Minas Gerais,31,3158706,Santana do Garambéu,880.0,Nível 10,11º
Minas Gerais,31,3120003,Córrego Novo,860.0,Nível 10,12º
Rio Grande do Sul,43,4301925,Barra do Rio Azul,860.0,Nível 10,13º
Minas Gerais,31,3127354,Glaucilândia,860.0,Nível 10,14º
Piauí,22,2210979,Tanque do Piauí,847.5,Nível 10,15º
Rio Grande do Sul,43,4308003,Faxinal do Soturno,846.25,Nível 10,16º
Minas Gerais,31,3151107,Pirapetinga,840.0,Nível 10,17º
Minas Gerais,31,3132602,Itamarati de Minas,840.0,Nível 10,18º
Goiás,52,5211602,Ivolândia,830.0,Nível 10,19º
Rio Grande do Sul,43,4314498,Pinheirinho do Vale,830.0,Nível 10,20º
Rio Grande do Sul,43,4313425,Novo Machado,820.0,Nível 10,21º
Rio Grande do Sul,43,4315073,Porto Vera Cruz,820.0,Nível 10,22º
Minas Gerais,31,3123858,Entre Folhas,817.8947368421053,Nível 10,23º
Rio Grande do Sul,43,4319703,São Valentim,817.7777777777778,Nível 10,24º
Piauí,22,2202729,Cocal dos Alves,816.6666666666666,Nível 10,25º
Santa Catarina,42,4200754,Alto Bela Vista,816.0,Nível 10,26º
Rio Grande do Sul,43,4312005,Mariano Moro,815.0,Nível 10,27º
Rio Grande do Sul,43,4312955,Nova Boa Vista,810.0,Nível 10,28º
Rio Grande do Sul,43,4307815,Estrela Velha,807.5,Nível 10,29º
Goiás,52,5204656,Campinaçu,800.0,Nível 10,30º
Goiás,52,5216809,Petrolina de Goiás,800.0,Nível 10,31º
Goiás,52,5213400,Moiporá,800.0,Nível 10,32º
Rio Grande do Sul,43,4304101,Campos Borges,800.0,Nível 10,33º
Rio Grande do Sul,43,4318614,São José do Sul,800.0,Nível 10,34º
Rio Grande do Norte,24,2406502,Lagoa Nova,800.0,Nível 10,35º
Rio Grande do Sul,43,4304309,Cândido Godói,795.7142857142857,Nível 10,36º
Minas Gerais,31,3135308,Japaraíba,795.0,Nível 10,37º
Bahia,29,2920304,Malhada de Pedras,793.3333333333334,Nível 10,38º
Bahia,29,2906600,Candiba,791.8518518518518,Nível 10,39º
Bahia,29,2932457,Umburanas,790.0,Nível 10,40º
Minas Gerais,31,3159357,Santa Rita de Minas,790.0,Nível 10,41º
Bahia,29,2919801,Macaúbas,788.75,Nível 10,42º
Rio Grande do Sul,43,4318051,São Domingos do Sul,786.6666666666666,Nível 10,43º
Tocantins,17,1720002,Santa Terezinha do Tocantins,780.0,Nível 10,44º
