SG_UF_ESC,CD_UF,media_nota_redacao,Nível,Ranking,CD_REGIAO,NM_REGIAO
ES,32,636.28,Nível 10,1º,3,Sudeste
MG,31,630.36,Nível 10,2º,3,Sudeste
SE,28,624.09,Nível 9,3º,2,Nordeste
RS,43,624.08,Nível 9,4º,4,Sul
SC,42,623.43,Nível 9,5º,4,Sul
DF,53,623.21,Nível 8,6º,5,Centro-Oeste
GO,52,619.7,Nível 8,7º,5,Centro-Oeste
PE,26,614.04,Nível 8,8º,2,Nordeste
RO,11,610.21,Nível 7,9º,1,Norte
PB,25,609.45,Nível 7,10º,2,Nordeste
PI,22,605.27,Nível 6,11º,2,Nordeste
SP,35,605.23,Nível 6,12º,3,Sudeste
CE,23,599.99,Nível 6,13º,2,Nordeste
RN,24,599.31,Nível 5,14º,2,Nordeste
PR,41,596.98,Nível 5,15º,4,Sul
AP,16,594.57,Nível 5,16º,1,Norte
RJ,33,588.83,Nível 4,17º,3,Sudeste
MS,50,587.14,Nível 4,18º,5,Centro-Oeste
MT,51,584.85,Nível 3,19º,5,Centro-Oeste
MA,21,580.64,Nível 3,20º,2,Nordeste
AC,12,580.48,Nível 3,21º,1,Norte
PA,15,577.64,Nível 2,22º,1,Norte
RR,14,571.06,Nível 2,23º,1,Norte
TO,17,570.84,Nível 2,24º,1,Norte
BA,29,561.83,Nível 1,25º,2,Nordeste
AL,27,553.5,Nível 1,26º,2,Nordeste
AM,13,524.3,Nível 1,27º,1,Norte
